;Diagnostico;Region;Actividad Economica;Edad;Sexo;Seguro;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Observación
;;Arica y Parinacota (XV);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Tarapacá (I);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Antofagasta (II);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Atacama (III);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;1;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Coquimbo (IV);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Valparaíso (V);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Metropolitana (RM);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;4;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;O'Higgins (VI);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Maule (VII);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Ñuble (XVI);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Biobío (VIII);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;2;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;La Araucanía (IX);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;1;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Los Ríos (XIV);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Los Lagos (X);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Aysén (XI);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Magallanes (XII);todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;1;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Sin información;todas_actv;todas_edad;sin_informacion;fonasa;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Arica y Parinacota (XV);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Tarapacá (I);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Antofagasta (II);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Atacama (III);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Coquimbo (IV);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Valparaíso (V);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Metropolitana (RM);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;O'Higgins (VI);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Maule (VII);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Ñuble (XVI);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Biobío (VIII);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;La Araucanía (IX);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Los Ríos (XIV);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Los Lagos (X);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Aysén (XI);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Magallanes (XII);todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
;;Sin información;todas_actv;todas_edad;sin_informacion;isapre;;;;;0;0;0;0;0;0;0;"suma de ""sin info"" + ""indeterminado"" de 2018 hacia abajo"
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Agricultura y Pesca;todas_edad;ambos_sex;fonasa;;;;;0;0;0;0;0;0;293689;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Minería;todas_edad;ambos_sex;fonasa;;;;;0;0;0;0;0;0;35725;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Industria Manufacturera;todas_edad;ambos_sex;fonasa;;;;;0;0;0;0;0;0;567309;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Electricidad, Gas y Agua;todas_edad;ambos_sex;fonasa;;;;;0;0;0;0;0;0;18124;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Construcción;todas_edad;ambos_sex;fonasa;;;;;0;0;0;0;0;0;578762;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Comercio ;todas_edad;ambos_sex;fonasa;;;;;0;0;0;0;0;0;1420561;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Transportes y Comunicaciones;todas_edad;ambos_sex;fonasa;;;;;0;0;0;0;0;0;434146;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Servicios;todas_edad;ambos_sex;fonasa;;;;;0;0;0;0;0;0;3399259;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Sin información;todas_edad;ambos_sex;fonasa;;;;;0;0;0;0;0;0;302341;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Agricultura y Pesca;todas_edad;ambos_sex;isapre;;;;;0;0;0;0;0;0;22928;
