;Diagnostico;Region;Actividad Economica;Edad;Sexo;Seguro;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Observación
LM autorizadas Diagnostico, Seguro de Salud, Edad;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;5474;3682;3918;3772;2600;4865;5478;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. infecciosas;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;2705;2380;3024;2765;1684;1891;2648;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. del Sistema Digestivo;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;1730;1442;1648;1889;1195;2130;2556;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;2083;1477;1370;1091;624;783;860;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;1035;887;880;771;490;815;983;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Tumores y Cánceres;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;125;103;127;103;110;98;149;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. cardiovasculares;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;142;155;154;161;94;159;171;
LM autorizadas Diagnostico, Seguro de Salud, Edad;COVID-19;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;#N/D;0;0;0;8410;25694;19406;
;Licencia médica preventiva parental;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;#N/D;0;0;0;180;155;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Otros diagnósticos;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;2473;2763;3143;3101;2056;3440;4090;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Sin información;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;#N/D;0;0;7;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;61061;62652;68129;76671;76754;132895;155813;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;53551;51479;54431;56398;41062;68080;68461;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. respiratorias;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;44799;42416;43895;47550;24546;22498;54619;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;29224;28125;29912;32168;23831;36342;38304;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. infecciosas;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;23966;24793;30194;30758;17501;17461;23923;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. del Sistema Digestivo;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;13757;14304;15916;18567;11918;17684;20548;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;22226;19957;18848;17724;13089;12581;14135;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;8827;8955;9385;9071;5467;7290;8213;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Tumores y Cánceres;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;1564;1347;1329;1416;1049;1416;1420;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. cardiovasculares;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;1713;1639;1650;1690;1256;1561;1636;
LM autorizadas Diagnostico, Seguro de Salud, Edad;COVID-19;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;#N/D;0;0;0;70770;163572;123347;
;Licencia médica preventiva parental;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;#N/D;0;0;0;10583;13129;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Otros diagnósticos;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;26943;26500;32406;32841;23413;31726;34546;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Sin información;todas_regiones;todas_actv;20-24;ambos_sex;fonasa;;;;;#N/D;1;2;20;0;11;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;264556;288448;318636;363658;379600;695717;756871;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;177300;189817;208283;223085;168408;271319;273252;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. respiratorias;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;148585;158430;166628;186198;88508;80383;203032;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;66315;70524;78933;89645;69423;102709;112536;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. infecciosas;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;70750;83926;101888;101355;60359;59581;86579;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. del Sistema Digestivo;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;42870;48730;55502;66067;42538;61495;74879;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;73581;71969;73535;72200;54554;57303;65518;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;30457;32802;35260;35929;23205;31499;35386;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Tumores y Cánceres;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;7704;8096;9118;9192;7922;10626;10144;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. cardiovasculares;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;7729;8182;8921;9315;7867;10785;9668;
LM autorizadas Diagnostico, Seguro de Salud, Edad;COVID-19;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;#N/D;0;0;0;212127;446849;400168;
;Licencia médica preventiva parental;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;#N/D;0;0;0;60581;82376;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Otros diagnósticos;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;89630;95688;118244;124008;92585;125924;140482;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Sin información;todas_regiones;todas_actv;25-34;ambos_sex;fonasa;;;;;#N/D;1;14;25;0;84;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;201516;222580;242676;271036;289455;534159;556878;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;174364;189656;205841;216298;173307;279197;272761;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. respiratorias;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;108755;123113;125454;135255;67285;61242;146227;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;54029;58244;63005;69881;56332;80062;87901;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. infecciosas;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;40832;49357;58159;57554;36669;35629;51260;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. del Sistema Digestivo;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;34631;39951;44224;50628;33682;48768;59354;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;26417;26677;27993;26067;20588;21511;25183;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;26932;29529;31487;31685;21785;29593;33382;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Tumores y Cánceres;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;15008;15443;16951;17490;14828;18437;19754;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. cardiovasculares;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;13508;14213;15039;15449;13027;18030;17295;
LM autorizadas Diagnostico, Seguro de Salud, Edad;COVID-19;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;#N/D;0;0;0;152124;310728;287670;
;Licencia médica preventiva parental;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;#N/D;0;0;0;23338;32521;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Otros diagnósticos;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;84280;92114;104541;110708;84186;120473;129491;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Sin información;todas_regiones;todas_actv;35-44;ambos_sex;fonasa;;;;;#N/D;2;3;22;1;38;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;126759;139434;153086;167610;195999;342636;323904;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;192212;210274;225050;232842;193776;312702;292390;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. respiratorias;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;89005;102579;99426;106174;57338;51536;104875;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;54335;59725;63082;70894;59715;83287;86448;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. infecciosas;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;26633;31644;35911;34768;25314;23924;29915;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. del Sistema Digestivo;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;30957;34456;37783;40940;29233;42191;47214;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;516;559;612;611;418;452;543;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;23120;25664;26876;26134;19515;25074;27026;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Tumores y Cánceres;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;24962;25594;27235;27879;22659;27377;29060;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. cardiovasculares;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;25302;26058;26293;26204;23996;30433;29492;
LM autorizadas Diagnostico, Seguro de Salud, Edad;COVID-19;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;#N/D;0;0;0;131034;243249;214102;
;Licencia médica preventiva parental;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;#N/D;0;0;0;362;511;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Otros diagnósticos;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;88950;94667;101658;107440;86098;121925;122803;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Sin información;todas_regiones;todas_actv;45-54;ambos_sex;fonasa;;;;;#N/D;2;8;29;0;27;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;69197;79619;91549;102288;134700;218543;200968;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;127830;149788;170356;184282;158544;253404;252114;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. respiratorias;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;58261;71895;72598;75901;44368;37285;75492;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;36487;42749;48103;55774;50136;70484;75546;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. infecciosas;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;14650;17918;20905;21027;16219;15252;19715;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. del Sistema Digestivo;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;20991;25093;28644;31120;23149;32624;38161;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;97;70;106;70;60;68;55;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;15313;17038;18705;19118;14945;19522;21893;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Tumores y Cánceres;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;23644;25983;29192;30748;27317;30732;33313;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. cardiovasculares;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;30623;32912;34783;36016;34300;43715;43149;
LM autorizadas Diagnostico, Seguro de Salud, Edad;COVID-19;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;#N/D;0;0;0;81928;143964;137461;
;Licencia médica preventiva parental;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;9;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Otros diagnósticos;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;62642;72344;80408;86522;73290;101423;104519;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Sin información;todas_regiones;todas_actv;55-64;ambos_sex;fonasa;;;;;#N/D;0;7;23;0;33;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;11945;15470;17962;21262;41575;51970;46397;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;29846;36587;41951;48154;43828;61784;66389;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. respiratorias;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;16185;20228;19888;22187;13002;10591;20823;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;9372;11040;12676;15200;12942;16621;19007;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. infecciosas;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;2908;3693;4219;4418;3206;3296;4446;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. del Sistema Digestivo;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;5930;6991;8041;9268;6645;8844;11203;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;34;47;36;104;19;17;10;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;6057;6969;6736;7543;6314;7145;8453;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Tumores y Cánceres;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;10893;12597;14250;16107;15189;15921;17024;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. cardiovasculares;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;15026;16258;17434;19427;19707;21943;21631;
LM autorizadas Diagnostico, Seguro de Salud, Edad;COVID-19;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;#N/D;0;0;0;16623;26805;28572;
;Licencia médica preventiva parental;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;1;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Otros diagnósticos;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;19941;23274;26430;28625;24099;30055;32581;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Sin información;todas_regiones;todas_actv;65 y más;ambos_sex;fonasa;;;;;#N/D;0;2;5;0;17;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. respiratorias;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. infecciosas;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. del Sistema Digestivo;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Tumores y Cánceres;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. cardiovasculares;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;COVID-19;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
;Licencia médica preventiva parental;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Otros diagnósticos;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Sin información;todas_regiones;todas_actv;Sin información;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;327;228;203;226;169;124;147;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;480;386;281;231;156;71;58;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. respiratorias;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;629;559;369;402;162;63;80;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;444;359;250;239;135;48;51;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. infecciosas;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;376;320;232;214;79;31;26;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. del Sistema Digestivo;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;197;159;146;150;52;40;24;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;93;43;14;21;10;12;2;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;104;54;39;35;10;22;11;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Tumores y Cánceres;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;12;10;11;1;2;2;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. cardiovasculares;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;19;13;14;10;5;0;1;
LM autorizadas Diagnostico, Seguro de Salud, Edad;COVID-19;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;#N/D;0;0;0;310;211;115;
;Licencia médica preventiva parental;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;#N/D;0;0;0;6;10;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Otros diagnósticos;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;347;270;271;181;87;65;57;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Sin información;todas_regiones;todas_actv;19 y menos;ambos_sex;isapre;;;;;#N/D;0;0;1;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;9086;8638;8136;8407;7523;10193;6149;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;11456;10309;9060;8460;5521;4940;3045;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. respiratorias;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;16268;14681;12278;12491;4992;2184;3466;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;8810;8479;7328;7125;3903;3135;2277;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. infecciosas;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;9696;10118;9552;8185;3550;1564;1410;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. del Sistema Digestivo;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;5732;5077;4776;5106;2407;1698;1512;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;2234;1957;1741;1223;818;623;629;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;1823;1735;1541;1605;776;560;470;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Tumores y Cánceres;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;386;450;394;416;213;120;111;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. cardiovasculares;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;530;447;376;394;219;157;99;
LM autorizadas Diagnostico, Seguro de Salud, Edad;COVID-19;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;#N/D;0;0;0;10298;8824;6064;
;Licencia médica preventiva parental;todas_regiones;todas_actv;20-25;ambos_sex;isapre;;;;;#N/D;0;0;0;712;487;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Otros diagnósticos;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;8041;7507;7139;6699;3806;3384;2011;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Sin información;todas_regiones;todas_actv;20-24;ambos_sex;isapre;;;;;#N/D;1;3;12;5;1;5;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;82521;84112;92186;103165;107522;177072;137887;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;78023;80515;83209;88643;61814;67911;58480;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. respiratorias;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;142746;146397;140628;157976;49792;31282;76099;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;48915;51304;53313;56033;37121;36642;35884;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. infecciosas;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;73616;85143;91155;84521;37237;23148;31656;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. del Sistema Digestivo;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;47080;47261;51277;61664;31478;29253;34198;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;33601;33804;31369;29302;22134;18223;18482;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;19035;20169;20217;20709;12872;12206;12628;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Tumores y Cánceres;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;5990;6733;6856;7391;5776;4924;4548;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. cardiovasculares;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;5058;5056;5100;5483;4109;3661;3182;
LM autorizadas Diagnostico, Seguro de Salud, Edad;COVID-19;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;#N/D;0;0;0;100685;104206;132906;
;Licencia médica preventiva parental;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;#N/D;0;0;0;31295;26066;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Otros diagnósticos;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;67636;69470;73145;78299;49313;57539;48303;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Sin información;todas_regiones;todas_actv;25-34;ambos_sex;isapre;;;;;#N/D;31;38;222;99;12;160;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;35-44;ambos_sex;isapre;;;;;71020;74790;84209;94974;102076;173866;141571;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;35-44;ambos_sex;isapre;;;;;70459;78047;83291;88420;64994;75124;68957;
